id,category,subcategory,question,correct_answer,answer_display,unit,source,difficulty,LLaMA_3_3_70B,LLaMA_3_1_8B,LLaMA_4_Scout_17B,Qwen3_32B,OpenAI_OSS_20B,NVIDIA_Nemotron_120B,OpenAI_OSS_120B,Gemma_4_31B,MiniMax_M2_5,Baidu_CoBuddy,LiquidAI_Instruct,OpenAI_OSS_20B_OR,Owl_Alpha,Free_Router,Groq_Compound,Groq_Compound_Mini,Allam_2_7B,OSS_Safeguard_20B
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,"34,794",critical cases,disease.sh,Hard,"8,743,219",I cannot provide real-time data.,"I don't have access to real-time data or future projections. However, I can suggest that you look for the latest information from reputable sources such as the World Health Organization (WHO) for the most accurate and up-to-date statistics.","<think>
Okay, the user is asking for the number of critical disease cases globally as of May 13, 2026. First, I need to check if I have access to real-time data. Since I don't, I",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,I don't have this specific data.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,"1,247,893",Unable to provide,11,ERROR: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gp,"I'm sorry, but as an AI developed in 2023, I don't have real-time data or the ability to browse the internet. Predicting the number of critical disease cases globally in the year 2",EMPTY
Q012,Disease Statistics,Global,"What is the number of patients in critical condition due to disease worldwide as of May 13, 2026?",34794,"34,794",critical cases,disease.sh,Hard,"7,851,219","I cannot verify the number of patients in critical condition due to disease worldwide as of May 13, 2026.",I don't have access to real-time data or future projections.,"<think>
Okay, the user is asking for the number of patients in critical condition due to disease worldwide as of May 13, 2026. Let me think about how to approach this.

First, I need to check if there",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data unavailable,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to real-time data on the number of patients in critical condition worldwide, and this specific information is not tracked in any comprehensive global database. This type of granular, moment-to-moment data on critical patients across all hospitals worldwide does not exist in an accessible format.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,"1,247,000",ERROR: Provider returned error,"I’m sorry, but I don’t have that information.","I’m sorry, I don’t have that information.","I'm sorry, but as an AI developed in 2023, I don't have real-time data or the ability to browse the internet. Predicting the number of critical patients in 2026 is",EMPTY
Q013,Disease Statistics,India,"What is the total number of disease cases reported in India as of May 13, 2026?",45035393,"45,035,393",cases,disease.sh,Medium,I'm not able to provide real-time data.,"I cannot verify the total number of disease cases reported in India as of May 13, 2026.",I can't provide that information.,"<think>
Okay, the user is asking for the total number of disease cases reported in India as of May 13, 2026. Let me think about how to approach this.

First, I need to check if there's any",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to real-time data or information about future dates. My knowledge is limited to information available up to my training data, and I cannot provide disease case counts for May 13, 2026.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"1,500,000","1,247,853",Data not available.,ERROR: Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llam,ERROR: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gp,"I'm sorry, but as an AI developed in 2023, I don't have real-time data or the ability to browse the internet. The information you're requesting is beyond my capabilities at this time. However",EMPTY
Q014,Disease Statistics,India,"How many Indians have been infected by disease in total as of May 13, 2026?",45035393,"45,035,393",cases,disease.sh,Medium,"38,567,579","I cannot verify the number of Indians infected by disease as of May 13, 2026.","I can’t provide information on future events or data that is not yet available, as my knowledge cutoff is December 2023. However, I can suggest some reliable sources where you may be able to find the information you're looking for, such as the","<think>
Okay, the user is asking for the total number of Indians infected by a disease as of May 13, 2026. First, I need to figure out which disease they're referring to. Since they didn't specify",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"44,000,000",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,I don't have this information.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,,"1,200,000",ERROR: Provider returned error,43452164,43452164,"As an AI assistant, I am unable to provide information about events that occur in the future. The data I have access to is up to October 2021, and any information beyond that would be speculative and not accurate. Please provide",EMPTY
Q015,Disease Statistics,India,"According to disease.sh what is India's cumulative disease case count as of May 13, 2026?",45035393,"45,035,393",cases,disease.sh,Hard,"44,778,093","I cannot verify India's cumulative disease case count as of May 13, 2026.","I cannot provide information that is not available yet, as my knowledge cutoff is December 2023, and I do not have access to real-time data. However, I can suggest checking disease.sh for the most up-to-date information. 

If you'd","<think>
Okay, let's see. The user is asking for India's cumulative disease case count as of May 13, 2026, according to disease.sh. First, I need to check if disease.sh is a real source",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,"45,000,000","45,312,874",45035393,"I’m sorry, but I don’t have that information.","As an AI assistant designed to provide accurate and up-to-date information, I must clarify that the year provided (2026) is in the future. I cannot provide data for events that have not yet occurred. If you provide the",EMPTY
Q016,Disease Statistics,India,"How many disease-related deaths have been recorded in India as of May 13, 2026?",533570,"533,570",deaths,disease.sh,Medium,"3,487,112","I cannot verify the number of disease-related deaths in India as of May 13, 2026.","I cannot provide information that is not publicly available or that may be subject to change. However, I can suggest some alternatives to find the information you're looking for. You can check the official website of the Ministry of Health and Family Welfare, Government of India","<think>
Okay, the user is asking for the number of disease-related deaths in India as of May 13, 2026. First, I need to check if I have access to real-time data. Since I don't,",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,I don't have this information.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,"As of my last knowledge update in early 2025, I do not have the specific number of disease-related deaths recorded in India as of May 13, 2026.",0,9000000,ERROR: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gp,"As an AI assistant, I cannot provide real-time or future data. My purpose is to help answer questions on a wide range of topics while ensuring accuracy and usefulness. Providing information on future dates or data that hasn't been recorded yet",EMPTY
Q017,Disease Statistics,India,"What is India's total disease death count as of May 13, 2026?",533570,"533,570",deaths,disease.sh,Medium,Not available,I can't provide that information.,"I cannot provide information that is not publicly available or has not been officially reported, as my knowledge cutoff is 01 March 2023.","<think>
Okay, the user is asking for India's total disease death count as of May 13, 2026. Let me think about how to approach this.

First, I need to check if there's any official data or",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have data for May 13, 2026, as it's a future date. Additionally, ""total disease death count"" is too vague to provide a specific number. Could you clarify which disease or time period you're asking about?",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I’m sorry, but I don’t have that information.","11,200,000","I’m sorry, but I don’t have that information.","ERROR: Error code: 413 - {'error': {'message': 'Request Entity Too Large', 'type': 'inv",10000000,"As an AI assistant, I can provide data up to my last training in October 2021. Since the question refers to data as of May 13, 2026, I cannot provide the requested information. However,",EMPTY
Q018,Disease Statistics,India,"How many people in India have died from disease according to disease.sh as of May 13, 2026?",533570,"533,570",deaths,disease.sh,Hard,"7,745,059","I cannot verify the number of deaths from disease.sh as of May 13, 2026.","I cannot provide information that may be outdated or unverified. However, I can tell you that according to disease.sh, as of my cut-off knowledge in 2023,  India reported 5,24,889 deaths due to COVID-19","<think>
Okay, let's see. The user is asking how many people in India have died from disease according to disease.sh as of May 13, 2026. First, I need to check if I have access to the",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"5,200,000",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to real-time data from disease.sh or the ability to look up specific statistics for May 13, 2026. I cannot provide accurate mortality figures without access to this external data source.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,157773,ERROR: Provider returned error,ERROR: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gp,533570,"As an AI assistant, I cannot provide real-time data or predict future data. Please ask about a different topic, and I'll be happy to assist you with the latest available information or data until my last update in October 202",EMPTY
Q019,Disease Statistics,India,"How many active disease cases does India currently have as of May 13, 2026?",44501823,"44,501,823",active cases,disease.sh,Hard,I'm not able to provide real-time data.,"I cannot verify the current number of active disease cases in India as of May 13, 2026.",I cannot provide information that is not available to me as my knowledge cutoff is 01 March 2023.,"<think>
Okay, the user is asking for the number of active disease cases in India as of May 13, 2026. First, I need to check if I have access to real-time data. Since I can't browse",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,I don't have this specific data.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,India,0,"1,009",ERROR: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gp,"As an AI assistant designed to provide accurate and up-to-date information, I must clarify that the year provided (2026) is in the future. I can only provide data based on the current year, which is 20",EMPTY
Q020,Disease Statistics,India,"What is the number of currently active disease patients in India as of May 13, 2026?",44501823,"44,501,823",active cases,disease.sh,Hard,"173,866","I cannot verify the number of active disease patients in India as of May 13, 2026.","I can't provide real-time or future data. However, I can suggest some alternatives to find the information you're looking for:

1. **Check the official website of the Ministry of Health and Family Welfare, Government of India**: They might have the latest data","<think>
Okay, the user is asking for the number of currently active disease patients in India as of May 13, 2026. Let me think about how to approach this.

First, I need to check if there's any",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to real-time health data or specific statistics for May 13, 2026.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,"1,247,836","10,000",13450,435603,"As an AI assistant, I can only provide information based on the latest available data up until September 2021. Since the query mentions a future date (May 13, 2026), I cannot provide a precise number",EMPTY
Q021,Disease Statistics,India,What is India's total disease case rate per one million population?,32016.0,32016.0,per million,disease.sh,Hard,884.8,"1,044.8","I don't have access to real-time or the most current data. However, according to the World Health Organization (WHO), as of 2019, India's total disease case rate per one million population was 111,309.","<think>
Okay, the user is asking for India's total disease case rate per one million population. Let me break this down.

First, I need to understand what ""total disease case rate"" refers to. Since the question is general, it's",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have this specific data. The term ""total disease case rate"" is not a standard epidemiological metric, and rates vary significantly by specific disease, time period, and data source. If you're looking for statistics on a particular disease (such as COVID-19, tuberculosis, or another condition), please specify which disease you'd like data on.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,"Based on the most recent comprehensive data, India's total disease case rate per one million population is approximately 30,000.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Error code: 429 - {'error': {'message': 'Rate limit reached for model `meta-llam,"ERROR: Error code: 413 - {'error': {'message': 'Request Entity Too Large', 'type': 'inv","India's total disease case rate per one million population is approximately 10,000 cases.",EMPTY
Q022,Disease Statistics,India,How many disease cases per million people has India recorded?,32016.0,32016.0,per million,disease.sh,Hard,1028.3,"1,044.","14,256.09","<think>
Okay, the user is asking about the number of disease cases per million people in India. First, I need to clarify which disease they're referring to. Since the question is general, maybe they mean a specific disease like a recent outbreak or",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Question too vague to answer accurately,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I’m sorry, but I can’t provide that.","1,000,000",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,800,800,"India recorded around 1,500 disease cases per million people as of 2021.",EMPTY
Q023,Disease Statistics,India,What is India's disease death rate per one million population?,379.0,379.0,per million,disease.sh,Hard,846.2,145.6,175.1,"<think>
Okay, I need to find India's disease death rate per one million population. Let me start by recalling what the disease death rate means. It's the number of deaths per year per one million people in the population. 

First, I",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,7300,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"5,000 per million population","1,200",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"ERROR: Error code: 413 - {'error': {'message': 'Request Entity Too Large', 'type': 'inv",348.9,"India's disease death rate per one million population is approximately 1,050.",EMPTY
Q024,Disease Statistics,India,How many disease deaths per million people has India recorded?,379.0,379.0,per million,disease.sh,Hard,"1,256","1,  14,  15,  16,  17,  18,  19,  20,  21,  22,  23,  24,  25,",954.,"<think>
Okay, the user is asking about the number of disease deaths per million people in India. Let me check the latest data.

First, I need to confirm the source. The World Health Organization (WHO) or the Indian government's health reports",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,1200,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"7,300",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"7,140","1,000",1.5 million per million people,"ERROR: Error code: 413 - {'error': {'message': 'Request Entity Too Large', 'type': 'inv",210,"India recorded around 1,300 disease deaths per million people in 2021.",EMPTY
Q025,Disease Statistics,India,How many disease tests per million population has India conducted?,665334.0,665334.0,per million,disease.sh,Hard,"316,067",Not available.,704.,"<think>
Okay, the user is asking about the number of disease tests per million population in India. Let me start by recalling the latest data I have. I remember that India has been conducting a significant number of tests for diseases, especially during the pandemic",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,500000,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"140,000","1,000,000",600000,53000,"53,000","As of September 2021, India has conducted approximately 1,000,000 COVID-19 tests per million population.",EMPTY
