id,category,subcategory,question,correct_answer,difficulty,model,status,extracted,rel_error
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,Groq_Compound_Mini,error,,
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,Allam_2_7B,refusal,,
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,OSS_Safeguard_20B,error,,
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,LLaMA_3_3_70B,hallucinated,8000000000.0,10.3515
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,LLaMA_3_1_8B,hallucinated,4555000000.0,5.4632
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,LLaMA_4_Scout_17B,refusal,,
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,Qwen3_32B,refusal,,
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,OpenAI_OSS_20B,refusal,,
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,NVIDIA_Nemotron_120B,hallucinated,2026.0,1.0
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,OpenAI_OSS_120B,hallucinated,7.2,1.0
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,Gemma_4_31B,error,,
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,MiniMax_M2_5,hallucinated,0.0,1.0
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,Baidu_CoBuddy,error,,
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,LiquidAI_Instruct,hallucinated,2026.0,1.0
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,OpenAI_OSS_20B_OR,hallucinated,1.2,1.0
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,Owl_Alpha,hallucinated,1200000000.0,0.7027
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,Free_Router,error,,
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,Groq_Compound,correct,753248175.0,0.0688
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,Groq_Compound_Mini,hallucinated,32729.0,1.0
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,Allam_2_7B,refusal,,
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,Medium,OSS_Safeguard_20B,error,,
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,LLaMA_3_3_70B,correct,758121321.0,0.0757
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,LLaMA_3_1_8B,refusal,,
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,LLaMA_4_Scout_17B,refusal,,
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,Qwen3_32B,hallucinated,2026.0,1.0
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,OpenAI_OSS_20B,refusal,,
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,NVIDIA_Nemotron_120B,hallucinated,2026.0,1.0
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,OpenAI_OSS_120B,refusal,,
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,Gemma_4_31B,error,,
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,MiniMax_M2_5,refusal,,
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,Baidu_CoBuddy,error,,
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,LiquidAI_Instruct,hallucinated,2026.0,1.0
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,OpenAI_OSS_20B_OR,hallucinated,1500000000.0,1.1284
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,Owl_Alpha,hallucinated,1127453892.0,0.5998
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,Free_Router,error,,
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,Groq_Compound,correct,704753890.0,0.0
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,Groq_Compound_Mini,correct,704753890.0,0.0
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,Allam_2_7B,refusal,,
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,Hard,OSS_Safeguard_20B,error,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,LLaMA_3_3_70B,hallucinated,464091819.0,65.1978
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,LLaMA_3_1_8B,hallucinated,4555111111.0,648.7388
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,LLaMA_4_Scout_17B,refusal,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,Qwen3_32B,refusal,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,OpenAI_OSS_20B,refusal,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,NVIDIA_Nemotron_120B,refusal,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,OpenAI_OSS_120B,refusal,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,Gemma_4_31B,error,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,MiniMax_M2_5,error,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,Baidu_CoBuddy,error,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,LiquidAI_Instruct,hallucinated,2026.0,0.9997
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,OpenAI_OSS_20B_OR,refusal,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,Owl_Alpha,refusal,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,Free_Router,error,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,Groq_Compound,error,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,Groq_Compound_Mini,error,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,Allam_2_7B,refusal,,
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,Medium,OSS_Safeguard_20B,error,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,LLaMA_3_3_70B,refusal,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,LLaMA_3_1_8B,refusal,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,LLaMA_4_Scout_17B,refusal,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,Qwen3_32B,hallucinated,2026.0,0.9997
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,OpenAI_OSS_20B,refusal,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,NVIDIA_Nemotron_120B,refusal,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,OpenAI_OSS_120B,hallucinated,56.0,1.0
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,Gemma_4_31B,error,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,MiniMax_M2_5,error,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,Baidu_CoBuddy,error,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,LiquidAI_Instruct,hallucinated,2026.0,0.9997
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,OpenAI_OSS_20B_OR,hallucinated,56.3,1.0
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,Owl_Alpha,refusal,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,Free_Router,error,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,Groq_Compound,error,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,Groq_Compound_Mini,error,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,Allam_2_7B,refusal,,
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,Medium,OSS_Safeguard_20B,error,,
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,LLaMA_3_3_70B,hallucinated,633308219.0,89.3348
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,LLaMA_3_1_8B,hallucinated,1444111111.0,204.9873
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,LLaMA_4_Scout_17B,correct,6951215.0,0.008482200231332733
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,Qwen3_32B,hallucinated,2026.0,0.9997
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,OpenAI_OSS_20B,refusal,,
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,NVIDIA_Nemotron_120B,hallucinated,2026.0,0.9997
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,OpenAI_OSS_120B,correct,7000000.0,0.0015
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,Gemma_4_31B,error,,
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,MiniMax_M2_5,refusal,,
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,Baidu_CoBuddy,error,,
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,LiquidAI_Instruct,hallucinated,45000.0,0.9936
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,OpenAI_OSS_20B_OR,refusal,,
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,Owl_Alpha,hallucinated,17100000.0,1.4391
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,Free_Router,error,,
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,Groq_Compound,correct,7010681.0,0.0
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,Groq_Compound_Mini,correct,7010681.0,0.0
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,Allam_2_7B,refusal,,
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,Hard,OSS_Safeguard_20B,error,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,LLaMA_3_3_70B,refusal,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,LLaMA_3_1_8B,refusal,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,LLaMA_4_Scout_17B,refusal,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,Qwen3_32B,hallucinated,2026.0,0.9999
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,OpenAI_OSS_20B,refusal,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,NVIDIA_Nemotron_120B,hallucinated,2026.0,0.9999
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,OpenAI_OSS_120B,hallucinated,0.0,1.0
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,Gemma_4_31B,error,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,MiniMax_M2_5,refusal,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,Baidu_CoBuddy,error,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,LiquidAI_Instruct,hallucinated,2026.0,0.9999
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,OpenAI_OSS_20B_OR,hallucinated,0.0,1.0
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,Owl_Alpha,refusal,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,Free_Router,error,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,Groq_Compound,correct,22123398.0,0.0
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,Groq_Compound_Mini,error,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,Allam_2_7B,refusal,,
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,Hard,OSS_Safeguard_20B,error,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,LLaMA_3_3_70B,hallucinated,464819211.0,20.0103
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,LLaMA_3_1_8B,refusal,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,LLaMA_4_Scout_17B,refusal,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,Qwen3_32B,hallucinated,2026.0,0.9999
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,OpenAI_OSS_20B,refusal,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,NVIDIA_Nemotron_120B,hallucinated,2026.0,0.9999
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,OpenAI_OSS_120B,refusal,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,Gemma_4_31B,error,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,MiniMax_M2_5,refusal,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,Baidu_CoBuddy,error,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,LiquidAI_Instruct,error,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,OpenAI_OSS_20B_OR,refusal,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,Owl_Alpha,hallucinated,1.3,1.0
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,Free_Router,hallucinated,0.0,1.0
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,Groq_Compound,hallucinated,95.0,1.0
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,Groq_Compound_Mini,hallucinated,7.6,1.0
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,Allam_2_7B,refusal,,
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,Hard,OSS_Safeguard_20B,error,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,LLaMA_3_3_70B,partial,464872111.0,0.3119
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,LLaMA_3_1_8B,hallucinated,2567819012.0,2.8007
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,LLaMA_4_Scout_17B,refusal,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,Qwen3_32B,hallucinated,2026.0,1.0
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,OpenAI_OSS_20B,refusal,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,NVIDIA_Nemotron_120B,error,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,OpenAI_OSS_120B,refusal,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,Gemma_4_31B,error,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,MiniMax_M2_5,refusal,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,Baidu_CoBuddy,error,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,LiquidAI_Instruct,error,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,OpenAI_OSS_20B_OR,hallucinated,6500000000.0,8.6208
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,Owl_Alpha,hallucinated,21000000.0,0.9689
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,Free_Router,hallucinated,0.0,1.0
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,Groq_Compound,hallucinated,65037154.0,0.9037
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,Groq_Compound_Mini,error,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,Allam_2_7B,refusal,,
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,Medium,OSS_Safeguard_20B,error,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,LLaMA_3_3_70B,partial,434819011.0,0.3564
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,LLaMA_3_1_8B,refusal,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,LLaMA_4_Scout_17B,refusal,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,Qwen3_32B,hallucinated,2026.0,1.0
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,OpenAI_OSS_20B,refusal,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,NVIDIA_Nemotron_120B,error,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,OpenAI_OSS_120B,refusal,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,Gemma_4_31B,error,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,MiniMax_M2_5,refusal,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,Baidu_CoBuddy,error,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,LiquidAI_Instruct,error,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,OpenAI_OSS_20B_OR,hallucinated,0.0,1.0
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,Owl_Alpha,hallucinated,1200000000.0,0.7761
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,Free_Router,hallucinated,0.0,1.0
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,Groq_Compound,error,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,Groq_Compound_Mini,hallucinated,2.9,1.0
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,Allam_2_7B,refusal,,
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,Medium,OSS_Safeguard_20B,error,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,LLaMA_3_3_70B,hallucinated,8743219.0,250.2853
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,LLaMA_3_1_8B,refusal,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,LLaMA_4_Scout_17B,refusal,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,Qwen3_32B,refusal,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,OpenAI_OSS_20B,refusal,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,NVIDIA_Nemotron_120B,error,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,OpenAI_OSS_120B,hallucinated,0.0,1.0
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,Gemma_4_31B,error,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,MiniMax_M2_5,refusal,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,Baidu_CoBuddy,error,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,LiquidAI_Instruct,error,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,OpenAI_OSS_20B_OR,hallucinated,0.0,1.0
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,Owl_Alpha,hallucinated,1247893.0,34.8652
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,Free_Router,refusal,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,Groq_Compound,hallucinated,11.0,0.9997
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,Groq_Compound_Mini,error,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,Allam_2_7B,refusal,,
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,Hard,OSS_Safeguard_20B,error,,
Q012,Disease Statistics,Global,"What is the number of patients in critical condition due to disease worldwide as of May 13, 2026?",34794,Hard,LLaMA_3_3_70B,hallucinated,7851219.0,224.6486
Q012,Disease Statistics,Global,"What is the number of patients in critical condition due to disease worldwide as of May 13, 2026?",34794,Hard,LLaMA_3_1_8B,refusal,,
