id,category,subcategory,question,correct_answer,answer_display,unit,source,difficulty,LLaMA_3_3_70B,LLaMA_3_1_8B,LLaMA_4_Scout_17B,Qwen3_32B,OpenAI_OSS_20B,NVIDIA_Nemotron_120B,OpenAI_OSS_120B,Gemma_4_31B,MiniMax_M2_5,Baidu_CoBuddy,LiquidAI_Instruct,OpenAI_OSS_20B_OR,Owl_Alpha,Free_Router,LLaMA_3_3_70B_score,LLaMA_3_1_8B_score,LLaMA_4_Scout_17B_score,Qwen3_32B_score,OpenAI_OSS_20B_score,NVIDIA_Nemotron_120B_score,OpenAI_OSS_120B_score,Gemma_4_31B_score,MiniMax_M2_5_score,Baidu_CoBuddy_score,LiquidAI_Instruct_score,OpenAI_OSS_20B_OR_score,Owl_Alpha_score,Free_Router_score
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 10, 2026?",34794,"34,794",critical cases,disease.sh,Hard,"134,219","I cannot verify the number of critical disease cases globally as of May 10, 2026.","I don't have access to real-time data or future projections. However, I can tell you that as of my knowledge cutoff in 2023, there were approximately 330 million reported cases of critical diseases globally, but I don't have a more recent number","<think>
Okay, the user is asking for the number of critical disease cases globally as of May 10, 2026. First, I need to check if there's any official data available for that specific date. Since the current",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Not available,EMPTY_RESPONSE,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"As of May 10, 2026, there is no single, universally agreed-upon number for ""critical disease cases"" globally, as this term is not a standard epidemiological metric. If referring to active severe/critical cases of",ERROR: Internal Server Error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q012,Disease Statistics,Global,"What is the number of patients in critical condition due to disease worldwide as of May 10, 2026?",34794,"34,794",critical cases,disease.sh,Hard,"7,328,191","I cannot verify the number of patients in critical condition due to disease worldwide as of May 10, 2026.",I cannot provide that information.,"<think>
Okay, the user is asking for the number of patients in critical condition due to disease worldwide as of May 10, 2026. Let me think about how to approach this.

First, I need to check if there",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data unavailable,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"1,240,000",ERROR: Provider returned error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q013,Disease Statistics,India,"What is the total number of disease cases reported in India as of May 10, 2026?",45035393,"45,035,393",cases,disease.sh,Medium,Not available,"I cannot verify the total number of disease cases reported in India as of May 10, 2026.","I cannot provide information that is not publicly available or up-to-date. However, I can suggest some alternatives to find the information you are looking for.

You can check the official website of the Ministry of Health and Family Welfare, Government of India, or","<think>
Okay, the user is asking for the total number of disease cases reported in India as of May 10, 2026. Let me think about how to approach this.

First, I need to check if there's any",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to real-time or future disease data, and your question doesn't specify which disease you're asking about. Additionally, May 10, 2026 is a future date.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"1,500,000","1,247,832",ERROR: Provider returned error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q014,Disease Statistics,India,"How many Indians have been infected by disease in total as of May 10, 2026?",45035393,"45,035,393",cases,disease.sh,Medium,"38,567,579","I cannot verify the number of Indians infected by disease as of May 10, 2026.",I can not verify that information.,"<think>
Okay, the user is asking for the total number of Indians infected by a disease as of May 10, 2026. First, I need to figure out which disease they're referring to. Since they didn't specify",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"45,200,000",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to data for May 10, 2026, and the question doesn't specify which disease. If this refers to COVID-19, India's confirmed cases were approximately 44.6 million as of early 2024.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"45,000,000",I don't have this information.,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Q015,Disease Statistics,India,"According to disease.sh what is India's cumulative disease case count as of May 10, 2026?",45035393,"45,035,393",cases,disease.sh,Hard,"43,345,879","I cannot verify India's cumulative disease case count as of May 10, 2026.","I cannot provide information that is not available yet or from a source I have not been trained on. My knowledge cutoff is December 2023. However, I can tell you that according to disease.sh on May 10, 2023, India's","<think>
Okay, let's see. The user is asking for India's cumulative disease case count as of May 10, 2026, according to disease.sh. First, I need to check if disease.sh is a real source",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to disease.sh data, and May 10, 2026 is beyond my knowledge cutoff. I cannot provide this specific information.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"I don't have access to real-time data or the ability to browse websites like disease.sh. My knowledge has a training cutoff, and I cannot retrieve current statistics for May 10, 2026.","I cannot provide this information. I don't have real-time access to the disease.sh API, and May 10, 2026 is a future date from my knowledge cutoff. Fabricating health data would be irresponsible.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q016,Disease Statistics,India,"How many disease-related deaths have been recorded in India as of May 10, 2026?",533570,"533,570",deaths,disease.sh,Medium,"7,851,861","I cannot verify the number of disease-related deaths in India as of May 10, 2026.","I cannot provide information that is not publicly available or that may be subject to change, especially if the date provided (May 10, 2026) is in the future.","<think>
Okay, the user is asking for the number of disease-related deaths in India as of May 10, 2026. First, I need to check if I have access to real-time data. Since I don't,",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to real-time or future data. My knowledge cutoff is June 2024, and May 10, 2026 is a future date. I cannot provide this specific statistic.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,"As of May 10, 2026, India has recorded 532,813 disease-related deaths.",Data not available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q017,Disease Statistics,India,"What is India's total disease death count as of May 10, 2026?",533570,"533,570",deaths,disease.sh,Medium,Not available,"I cannot verify India's total disease death count as of May 10, 2026.","I don't have access to real-time data or future projections, but as of my cut-off knowledge on 01 March 2023, India reported a total of  5,33,166 deaths due to COVID-19. However, I couldn't","<think>
Okay, the user is asking for India's total disease death count as of May 10, 2026. Let me think about how to approach this.

First, I need to remember that my role is to provide factual",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to this specific data. My knowledge is limited to information that was available up to my training data, and I cannot provide real-time or future health statistics.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"1,500,000","I don't have access to real-time or future data, including disease death counts for May 10, 2026. My knowledge is based on information available up to early 2024. For the most current and accurate","I’m sorry, but I don’t have that information.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q018,Disease Statistics,India,"How many people in India have died from disease according to disease.sh as of May 10, 2026?",533570,"533,570",deaths,disease.sh,Hard,"4,541,791","I cannot verify the number of deaths from disease.sh as of May 10, 2026.","I cannot provide information that may be outdated or unverified. However, I can tell you that according to disease.sh, as of a certain date, you can look up the data yourself. India.","<think>
Okay, let's see. The user is asking how many people in India have died from disease according to disease.sh as of May 10, 2026. First, I need to check if I have access to the",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"1,234,567","1,058,000",I cannot provide this specific number. I don't have real-time access to disease.sh or any ability to look up historical data from that date (which is in the future from my knowledge cutoff). I can only provide numbers I actually have access to in my training data.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q019,Disease Statistics,India,"How many active disease cases does India currently have as of May 10, 2026?",44501823,"44,501,823",active cases,disease.sh,Hard,I'm not able to provide real-time data.,"I cannot verify the current number of active disease cases in India as of May 10, 2026.",I cannot provide information that is not available to me as my knowledge cutoff is December 2023.,"<think>
Okay, the user is asking for the number of active disease cases in India as of May 10, 2026. First, I need to check if there's any official data available for that specific date. Since the",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"1,042,317",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"I don't have access to real-time health data or current disease surveillance statistics for India as of May 10, 2026. My knowledge is not updated to that date, and I cannot retrieve live epidemiological data.

For the most","12,340",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q020,Disease Statistics,India,"What is the number of currently active disease patients in India as of May 10, 2026?",44501823,"44,501,823",active cases,disease.sh,Hard,"123,456","I cannot verify the number of active disease patients in India as of May 10, 2026.",I can't provide that information.,"<think>
Okay, the user is asking for the number of currently active disease patients in India as of May 10, 2026. Let me think about how to approach this.

First, I need to check if there's any",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"As of May 10, 2026, the number of currently active disease patients in India is not publicly available in real-time global health databases. For the most accurate and up-to-date figure, please refer to official sources such as",ERROR: Internal Server Error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q021,Disease Statistics,India,What is India's total disease case rate per one million population?,32016.0,32016.0,per million,disease.sh,Hard,884.8,"1,044.8","I don't have access to real-time or the most current data, including India's total disease case rate per one million population. For the most accurate and up-to-date information, I recommend checking the latest reports from the World Health Organization (WHO) or the","<think>
Okay, the user is asking for India's total disease case rate per one million population. Let me break this down.

First, I need to clarify what ""total disease case rate"" means. Since ""total disease"" is a broad term",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,"1,250,000",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q022,Disease Statistics,India,How many disease cases per million people has India recorded?,32016.0,32016.0,per million,disease.sh,Hard,1028.7,"1,044.",565.43,"<think>
Okay, the user is asking about the number of disease cases per million people in India. First, I need to clarify which disease they're referring to. Since the question is general, maybe they mean a specific disease like a recent outbreak or",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data unavailable.,"1,200,000","The question is too ambiguous to answer precisely. Please specify which disease (e.g., COVID-19, tuberculosis, malaria) you are asking about.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
Q023,Disease Statistics,India,What is India's disease death rate per one million population?,379.0,379.0,per million,disease.sh,Hard,846.2,145.6,175.,"<think>
Okay, I need to find India's disease death rate per one million population. Let me start by recalling what the disease death rate means. It's the number of deaths per year per one million people in the population. 

First, I",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,7200,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,7300,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"1,200",7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q024,Disease Statistics,India,How many disease deaths per million people has India recorded?,379.0,379.0,per million,disease.sh,Hard,846.43,"1,  14,  17,  18,  19,  20,  21,  22,  23,  24,  25,  26,  27,",609.,"<think>
Okay, the user is asking about the number of disease deaths per million people in India. Let me start by recalling the latest data I have. I remember that the World Health Organization (WHO) and other health organizations track such statistics.",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to current, verified health statistics to provide this specific number accurately.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,1070,"1,000",0.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q025,Disease Statistics,India,How many disease tests per million population has India conducted?,665334.0,665334.0,per million,disease.sh,Hard,"316,067",Not available,150.,"<think>
Okay, the user is asking about the number of disease tests per million population in India. I need to find the most recent data available. Let me start by recalling if I have any prior information on this. I know that during the pandemic",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"643,000 per million population",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"1,070,000","1,042,000",ERROR: Internal Server Error,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q026,Disease Statistics,India,What is India's disease testing rate per one million people?,665334.0,665334.0,per million,disease.sh,Hard,316.2,"1,044.",526.,"<think>
Okay, the user is asking about India's disease testing rate per one million people. Let me start by understanding what exactly they need. The term ""disease testing rate"" could refer to different things, like the number of tests conducted per",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"1,200,000 per million people",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,500000,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"1,000,000",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
